MANIFEST_ID,SHIP_NAME,DESTINATION,WEIGHT_KG,CARGO_TYPE
7192,Global Logistix,Sydney,13705,General Goods
6438,Blue Water Co,Tokyo,7521,General Goods
3901,FastShip Inc,New York,3969,General Goods
3426,Global Logistix,Berlin,11006,General Goods
4449,FastShip Inc,Moscow,14994,General Goods
3745,Blue Water Co,Paris,3316,General Goods
4777,North Star Ltd,Helsinki,8514,General Goods
4023,Blue Water Co,London,10221,General Goods
7796,Blue Water Co,Tokyo,8064,General Goods
5324,Global Logistix,Singapore,11040,General Goods
4352,Oceanic Carriers,Tokyo,2086,General Goods
9723,Oceanic Carriers,Paris,4734,General Goods
6481,Oceanic Carriers,Tokyo,13573,General Goods
3627,North Star Ltd,Singapore,12394,General Goods
2258,Oceanic Carriers,Helsinki,10358,General Goods
5908,Oceanic Carriers,Tokyo,11805,General Goods
4230,Global Logistix,Berlin,14531,General Goods
9152,North Star Ltd,New York,8287,General Goods
7591,Oceanic Carriers,Berlin,10869,General Goods
4456,FastShip Inc,Berlin,10655,General Goods
5898,North Star Ltd,Moscow,10602,General Goods
7551,Global Logistix,Helsinki,13125,General Goods
1508,Oceanic Carriers,Dubai,7899,General Goods
1789,Blue Water Co,London,10735,General Goods
1117,Oceanic Carriers,Helsinki,972,General Goods
2619,Global Logistix,Berlin,3931,General Goods
4558,Blue Water Co,Dubai,10774,General Goods
9455,Global Logistix,Tokyo,1296,General Goods
2196,Blue Water Co,Moscow,3522,General Goods
7487,Global Logistix,Dubai,4603,General Goods
2658,Blue Water Co,Moscow,14979,General Goods
7152,North Star Ltd,Tokyo,14018,General Goods
3114,Global Logistix,Helsinki,2282,General Goods
6652,FastShip Inc,Helsinki,12202,General Goods
5999,FastShip Inc,London,3517,General Goods
4957,Global Logistix,Paris,984,General Goods
4739,FastShip Inc,Singapore,7330,General Goods
7899,Oceanic Carriers,Dubai,13410,General Goods
6792,FastShip Inc,New York,14867,General Goods
1509,FastShip Inc,Helsinki,11948,General Goods
5304,Oceanic Carriers,Singapore,12688,General Goods
6031,FastShip Inc,Berlin,7343,General Goods
0812,FastShip Inc,Helsinki,6111,General Goods
1782,Global Logistix,Singapore,2492,General Goods
3821,FastShip Inc,New York,9871,General Goods
3425,Blue Water Co,Helsinki,4660,General Goods
7735,Global Logistix,Helsinki,3300,General Goods
4260,Global Logistix,Singapore,7817,General Goods
2225,FastShip Inc,Paris,11096,General Goods
5255,Oceanic Carriers,London,13181,General Goods
2359,North Star Ltd,Tokyo,14241,General Goods
3662,FastShip Inc,Tokyo,8225,General Goods
7688,FastShip Inc,Tokyo,10218,General Goods
9882,Oceanic Carriers,London,7778,General Goods
9993,Global Logistix,Moscow,10355,General Goods
8820,Global Logistix,Berlin,9757,General Goods
6790,FastShip Inc,Dubai,4952,General Goods
6411,FastShip Inc,Berlin,614,General Goods
1979,Global Logistix,Moscow,4945,General Goods
3929,Global Logistix,Paris,6621,General Goods
5823,Global Logistix,Berlin,11930,General Goods
8177,FastShip Inc,Tokyo,6905,General Goods
4772,North Star Ltd,Singapore,6025,General Goods
8022,Oceanic Carriers,Helsinki,4560,General Goods
7558,FastShip Inc,Moscow,1842,General Goods
2243,Oceanic Carriers,Dubai,10560,General Goods
1798,FastShip Inc,Moscow,10227,General Goods
3572,FastShip Inc,Singapore,8085,General Goods
6020,Oceanic Carriers,New York,9953,General Goods
2150,FastShip Inc,Berlin,13486,General Goods
7704,FastShip Inc,Sydney,13783,General Goods
4637,Global Logistix,Tokyo,14390,General Goods
2706,Oceanic Carriers,London,11841,General Goods
6075,North Star Ltd,Helsinki,11868,General Goods
4656,FastShip Inc,Helsinki,9193,General Goods
7945,FastShip Inc,Paris,10968,General Goods
4302,FastShip Inc,Berlin,6026,General Goods
4558,Global Logistix,Dubai,9751,General Goods
9707,Oceanic Carriers,Berlin,14529,General Goods
9615,FastShip Inc,Tokyo,2642,General Goods
3233,Oceanic Carriers,Berlin,867,General Goods
9064,Global Logistix,Sydney,1224,General Goods
1998,Oceanic Carriers,Singapore,14630,General Goods
3039,Oceanic Carriers,New York,8792,General Goods
8243,Oceanic Carriers,Paris,2387,General Goods
5306,North Star Ltd,Sydney,7685,General Goods
3508,Oceanic Carriers,Sydney,8359,General Goods
8673,FastShip Inc,Dubai,10924,General Goods
3697,FastShip Inc,Berlin,3351,General Goods
8981,Oceanic Carriers,Moscow,12622,General Goods
8693,North Star Ltd,Berlin,14271,General Goods
9693,FastShip Inc,Moscow,14183,General Goods
6481,Global Logistix,Tokyo,975,General Goods
3566,Global Logistix,Tokyo,14111,General Goods
5558,Oceanic Carriers,New York,4640,General Goods
5437,North Star Ltd,Moscow,9379,General Goods
4546,FastShip Inc,Sydney,4966,General Goods
7590,North Star Ltd,Sydney,1822,General Goods
5376,Global Logistix,Dubai,13336,General Goods
1396,FastShip Inc,Moscow,3007,General Goods
