GRID,CITY,ZONE_CONTROL
YW93,Riga,Contested
KK20,Wismar,Contested
HB62,Bergen,Lost
KE32,Bergen,Lost
AQ44,Brest,Held
CQ8,Tallinn,Held
XU21,Rotterdam,Contested
VR69,Riga,Contested
CS16,Rotterdam,Lost
HV53,Riga,Contested
MW19,Hamburg,Lost
WV84,Hamburg,Neutral
LJ49,Brest,Neutral
ZR27,Riga,Neutral
YJ87,Rotterdam,Contested
PX31,Wismar,Neutral
KA92,Malmo,Held
SC5,Narvik,Lost
TX53,Riga,Lost
EK32,Riga,Held
CJ50,Narvik,Neutral
MY22,Rotterdam,Contested
EG67,Stettin,Held
AZ3,Hamburg,Neutral
BQ90,Bergen,Held
AB48,Bergen,Contested
YD51,Gdansk,Lost
EP21,Ostend,Contested
CF20,Brest,Neutral
NU90,Stettin,Neutral
ND96,Stettin,Neutral
PN77,Kiel,Neutral
WK14,Wismar,Neutral
SL9,Narvik,Held
LF36,Rotterdam,Neutral
CZ25,Cherbourg,Neutral
VL42,Cherbourg,Neutral
QA70,Tallinn,Neutral
BR99,Memel,Contested
BX75,Antwerp,Contested
HA48,Calais,Lost
AC39,Narvik,Contested
DZ28,Rotterdam,Lost
YN69,Antwerp,Neutral
LZ88,Aarhus,Neutral
RV67,Bergen,Neutral
SY63,Gdansk,Lost
YU57,Wismar,Neutral
KG60,Malmo,Held
HN34,Aarhus,Neutral
HW51,Cherbourg,Lost
LZ95,Bremen,Held
KC93,Brest,Lost
UH11,Calais,Lost
TC2,Brest,Neutral
QX42,Brest,Neutral
VQ37,Hamburg,Neutral
JS25,Bremen,Held
TH27,Riga,Lost
JQ47,Stettin,Lost
ZE99,Ostend,Contested
SC96,Narvik,Contested
DZ23,Aarhus,Neutral
YK47,Kiel,Held
GR7,Malmo,Contested
YM60,Tallinn,Lost
AR46,Calais,Lost
TR20,Lubeck,Lost
ML25,Aarhus,Lost
VE48,Brest,Neutral
TH19,Aarhus,Neutral
HV59,Riga,Neutral
AZ50,Gdansk,Lost
AK28,Bergen,Neutral
EL42,Rotterdam,Lost
SJ74,Tallinn,Lost
HH14,Stettin,Held
TQ36,Cherbourg,Held
RS11,Antwerp,Neutral
DZ40,Bergen,Lost
EP14,Stettin,Neutral
YN46,Calais,Held
CL3,Wismar,Held
BJ91,Brest,Held
NW87,Memel,Held
AD87,Cherbourg,Lost
LU52,Aarhus,Held
SF32,Malmo,Lost
KD65,Bremen,Contested
JT54,Aarhus,Held
YL9,Wismar,Contested
HK65,Malmo,Neutral
CD97,Bremen,Lost
UW74,Memel,Neutral
GR93,Lubeck,Neutral
VG76,Bergen,Held
XZ64,Malmo,Neutral
RP51,Riga,Contested
JS9,Rotterdam,Neutral
SP94,Wismar,Neutral
ZS37,Kiel,Contested
AB33,Aarhus,Lost
FD35,Aarhus,Contested
ZP71,Calais,Held
ZT78,Bergen,Neutral
LP29,Narvik,Held
SR79,Ostend,Lost
TU95,Kiel,Neutral
TC13,Lubeck,Held
QM51,Memel,Held
KH85,Ostend,Lost
RU34,Narvik,Contested
QW29,Memel,Lost
CN49,Kiel,Lost
RH70,Brest,Held
ET47,Tallinn,Neutral
UN20,Wismar,Contested
KJ44,Rotterdam,Lost
XM20,Lubeck,Contested
RN19,Hamburg,Lost
HS35,Bergen,Neutral
DK7,Narvik,Neutral
CV95,Riga,Contested
AZ4,Bremen,Held
XE50,Tallinn,Contested
AP46,Calais,Held
VC25,Bergen,Contested
KB32,Bergen,Neutral
BS9,Lubeck,Contested
SK68,Lubeck,Lost
KJ78,Wismar,Held
HP83,Ostend,Lost
JV1,Stettin,Held
BD45,Hamburg,Held
XJ37,Malmo,Lost
SX78,Malmo,Neutral
EX27,Gdansk,Contested
FH62,Hamburg,Held
RY30,Antwerp,Neutral
ZG52,Kiel,Lost
JA20,Tallinn,Contested
EM66,Kiel,Contested
RX46,Malmo,Held
WY24,Kiel,Held
CE67,Aarhus,Contested
SS7,Calais,Neutral
JU81,Ostend,Neutral
RW45,Bremen,Lost
YQ56,Lubeck,Lost
DH68,Lubeck,Contested
UP29,Kiel,Contested
SK60,Memel,Neutral
RZ63,Narvik,Held
GC11,Kiel,Lost
GF25,Wismar,Contested
EY71,Memel,Held
AS28,Ostend,Neutral
MX68,Lubeck,Held
WQ73,Rotterdam,Held
ZY97,Wismar,Held
CL23,Wismar,Neutral
YZ47,Rotterdam,Neutral
VC81,Aarhus,Neutral
NL76,Bergen,Held
DC65,Malmo,Lost
SP25,Lubeck,Lost
JY3,Tallinn,Contested
QF93,Wismar,Neutral
CW72,Stettin,Contested
SJ12,Riga,Lost
WT90,Brest,Held
XS38,Kiel,Lost
NL32,Cherbourg,Lost
JW38,Wismar,Lost
RP10,Antwerp,Held
DK92,Ostend,Held
XP66,Memel,Contested
XN50,Memel,Neutral
BZ24,Bremen,Lost
VU82,Antwerp,Contested
YM34,Wismar,Held
LX31,Cherbourg,Contested
PU40,Aarhus,Neutral
GH77,Wismar,Contested
