SECTOR,LAT,LON,CITY,TARGET_FACILITY,RISK_LEVEL
SEC-09,46.20,06.14,Geneva,Water Treatment Plant,Critical
SEC-47,37.84,16.83,Rome,Supply Depot,High
SEC-95,42.38,3.33,Brussels,Power Grid Substation,Low
SEC-91,38.43,-2.90,Vienna,Communications Tower,Medium
SEC-58,50.48,8.32,Copenhagen,Railway Junction,Extreme
SEC-38,59.58,14.45,Rome,Embassy Annex,Medium
SEC-71,44.63,14.51,Copenhagen,Railway Junction,Extreme
SEC-84,42.54,-8.26,Warsaw,Embassy Annex,Low
SEC-63,50.75,12.59,Berlin,Communications Tower,Medium
SEC-64,49.12,-0.59,Zurich,Communications Tower,Medium
SEC-76,43.03,19.36,Geneva,Supply Depot,High
SEC-83,45.29,-3.06,Zurich,Power Grid Substation,Low
SEC-21,53.64,3.70,Rome,Power Grid Substation,Medium
SEC-85,48.75,24.20,Paris,Power Grid Substation,Extreme
SEC-10,50.00,-8.90,Geneva,Water Treatment Plant,Extreme
SEC-35,38.36,13.47,Copenhagen,Railway Junction,Medium
SEC-67,54.30,3.71,Warsaw,Embassy Annex,Low
SEC-61,59.77,12.32,Copenhagen,Communications Tower,High
SEC-94,58.30,25.87,Rome,Power Grid Substation,Low
SEC-92,45.02,2.79,Berlin,Supply Depot,Medium
SEC-78,45.32,19.58,Brussels,Embassy Annex,Medium
SEC-98,37.86,-6.52,Warsaw,Water Treatment Plant,Medium
SEC-40,54.14,27.10,Berlin,Supply Depot,Medium
SEC-50,38.60,5.83,Copenhagen,Communications Tower,High
SEC-44,59.52,18.74,Vienna,Water Treatment Plant,Extreme
SEC-21,36.82,5.76,Prague,Power Grid Substation,Extreme
SEC-58,58.05,4.56,Geneva,Water Treatment Plant,Low
SEC-56,43.15,12.92,Copenhagen,Supply Depot,Extreme
SEC-16,42.41,-4.84,Vienna,Power Grid Substation,Extreme
SEC-26,40.00,16.42,Berlin,Communications Tower,Extreme
SEC-49,41.72,-4.81,Prague,Power Grid Substation,Low
SEC-45,50.64,14.23,Copenhagen,Communications Tower,High
SEC-78,38.48,15.18,Rome,Embassy Annex,Extreme
SEC-30,50.06,28.02,Brussels,Supply Depot,Medium
SEC-16,35.74,13.55,Berlin,Communications Tower,Extreme
SEC-31,56.17,-0.42,Vienna,Communications Tower,Low
SEC-51,41.80,3.47,Prague,Supply Depot,Low
SEC-41,51.38,19.96,London,Railway Junction,Low
SEC-52,44.96,11.76,Berlin,Railway Junction,Low
SEC-12,57.22,12.09,Berlin,Railway Junction,Low
SEC-31,37.83,-7.32,Paris,Water Treatment Plant,Low
SEC-47,52.42,15.20,Zurich,Supply Depot,Low
SEC-68,44.38,-7.45,Zurich,Communications Tower,Extreme
SEC-45,48.42,20.64,Paris,Communications Tower,Medium
SEC-18,40.86,11.47,Warsaw,Railway Junction,Low
SEC-55,47.85,5.09,Madrid,Embassy Annex,Low
SEC-37,52.52,-5.21,Vienna,Embassy Annex,Low
SEC-47,58.01,8.43,Madrid,Embassy Annex,High
SEC-50,43.39,29.82,Madrid,Supply Depot,Medium
SEC-18,47.73,22.80,Geneva,Railway Junction,Low
SEC-19,44.47,2.23,Rome,Supply Depot,Medium
SEC-23,50.95,23.84,Copenhagen,Water Treatment Plant,Extreme
SEC-81,46.06,-4.83,Warsaw,Water Treatment Plant,Medium
SEC-60,53.06,-5.94,Paris,Power Grid Substation,Medium
SEC-38,40.58,-8.64,London,Embassy Annex,Extreme
SEC-62,58.82,19.66,Madrid,Supply Depot,Low
SEC-37,39.49,3.29,Warsaw,Power Grid Substation,Low
SEC-39,45.31,23.39,Prague,Water Treatment Plant,High
SEC-46,50.66,17.85,Vienna,Railway Junction,High
SEC-52,53.10,23.69,Copenhagen,Communications Tower,Low
SEC-19,39.27,-7.62,Berlin,Railway Junction,High
SEC-75,45.87,27.90,Brussels,Communications Tower,Low
SEC-14,54.38,22.62,Berlin,Power Grid Substation,Low
SEC-34,46.53,8.05,Geneva,Railway Junction,High
SEC-31,45.50,25.54,Berlin,Communications Tower,High
SEC-29,38.38,3.86,Zurich,Water Treatment Plant,High
SEC-59,39.83,12.52,Rome,Embassy Annex,Extreme
SEC-70,51.68,-7.97,London,Communications Tower,High
SEC-45,41.84,22.11,Paris,Embassy Annex,Medium
SEC-27,38.37,14.45,Vienna,Supply Depot,High
SEC-65,45.84,2.27,Berlin,Power Grid Substation,Medium
SEC-34,50.84,13.73,Madrid,Communications Tower,Extreme
SEC-49,39.83,29.02,Vienna,Supply Depot,Low
SEC-11,56.76,-0.24,Brussels,Supply Depot,Medium
SEC-93,56.91,2.82,Prague,Water Treatment Plant,Low
SEC-51,42.06,1.10,Paris,Communications Tower,Medium
SEC-68,36.38,24.40,London,Water Treatment Plant,High
SEC-16,47.10,2.46,Brussels,Embassy Annex,Extreme
SEC-39,55.55,-2.29,Rome,Supply Depot,High
SEC-52,45.91,19.88,Rome,Power Grid Substation,Low
SEC-49,55.35,0.97,Geneva,Embassy Annex,Extreme
SEC-83,52.72,11.38,Zurich,Supply Depot,High
SEC-33,52.94,19.20,Copenhagen,Water Treatment Plant,Low
SEC-28,44.09,-5.78,Madrid,Railway Junction,High
SEC-21,47.53,-4.76,London,Embassy Annex,Medium
SEC-79,48.20,6.73,Berlin,Water Treatment Plant,Medium
SEC-71,41.25,-6.46,Prague,Supply Depot,Medium
SEC-23,46.69,11.07,Warsaw,Communications Tower,Low
SEC-45,45.53,-5.34,London,Water Treatment Plant,High
SEC-51,45.45,19.43,Brussels,Supply Depot,High
SEC-45,46.78,0.03,Geneva,Water Treatment Plant,Medium
SEC-49,46.68,15.90,Copenhagen,Communications Tower,Low
SEC-56,53.43,-7.78,Paris,Communications Tower,High
SEC-78,46.74,9.00,Geneva,Embassy Annex,High
SEC-36,54.57,13.51,Geneva,Communications Tower,Extreme
SEC-58,43.40,16.92,Vienna,Communications Tower,Extreme
SEC-54,46.24,21.55,Geneva,Supply Depot,Medium
SEC-42,58.52,-3.25,Berlin,Railway Junction,High
SEC-10,55.86,3.69,Warsaw,Power Grid Substation,High
SEC-55,52.87,26.92,Madrid,Supply Depot,Extreme
SEC-59,45.63,-3.81,Paris,Power Grid Substation,Extreme
SEC-46,35.07,-1.67,Paris,Power Grid Substation,Medium
SEC-87,42.70,-6.51,London,Water Treatment Plant,Medium
SEC-77,47.53,0.08,Madrid,Communications Tower,High
SEC-41,56.45,3.38,Warsaw,Embassy Annex,Extreme
SEC-72,46.83,16.27,Madrid,Communications Tower,Extreme
